Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,:Rdeltoid,,,:RMidArm,,,:RElbRadial,,,:RElbUlna,,,:RMidForeArm,,,:RWrist1,,,:RWrist2,,,:RFingerJoint,,,:LDeltoid,,,:LMidArm,,,:LElbRadial,,,:LElbUlna,,,:LMidForearm,,,:Lwrist1,,,:LWrist2,,,:LFingerJoint,,,:C7,,,:Neck,,,:MidSternum,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
19,0,445.475677,51.603996,896.220764,439.633911,99.04213,776.589661,427.006348,104.683372,626.041077,456.743317,66.974388,618.103943,317.10849,35.431286,587.099121,290.371979,18.688354,526.115967,285.949707,-17.404224,568.169312,265.529144,-71.224037,511.506744,391.14093,-135.886169,960.299683,395.725037,-298.165283,927.789429,417.855591,-392.641907,902.097046,464.532867,-376.704041,892.417053,373.241669,-373.729858,827.36438,361.637207,-370.729828,700.242065,366.858795,-319.211487,707.444031,369.251617,-314.165588,633.0224,451.814911,-51.357677,936.020264,357.296021,-47.850231,855.736084,341.345367,-65.854378,772.648193
20,0,445.410095,51.676052,896.223938,439.604553,99.002075,776.552734,426.917786,104.641296,625.989807,456.68811,66.878746,618.064514,317.034698,35.376575,587.059387,290.3797,18.652802,526.04126,285.868591,-17.561409,568.18335,265.508362,-71.329887,511.451782,391.044373,-135.820557,960.368652,395.463074,-298.122284,927.803589,417.505249,-392.611511,902.078918,464.36322,-376.792511,892.502563,372.963074,-373.553558,827.39386,361.655457,-370.663147,700.115723,366.915497,-319.145386,707.394226,369.425537,-314.043243,632.951233,451.711731,-51.193474,935.915283,357.327759,-47.662895,855.803833,341.236572,-65.91008,772.6875
21,0,445.323029,51.7094,896.217041,439.51651,99.01889,776.518616,426.82019,104.563705,625.937988,456.605255,66.789665,618.047668,316.938751,35.315872,587.047852,290.252106,18.624203,526.047424,285.801819,-17.602232,568.082092,265.453613,-71.423882,511.349915,390.893829,-135.751831,960.462219,395.194153,-298.082855,927.800781,417.156494,-392.596161,902.064758,463.89917,-376.747437,892.647705,372.415985,-373.213287,827.802124,361.696106,-370.584229,699.991272,366.920135,-319.110535,707.32843,369.643311,-313.905121,632.899536,451.634094,-51.267921,935.968323,357.221863,-47.717583,855.800171,341.144287,-65.926544,772.737122
22,0,445.229431,51.766994,896.222839,439.402252,99.020325,776.491028,428.04483,100.006355,624.73407,456.454437,66.763901,618.04248,316.816345,35.254467,587.008057,290.146179,18.552937,526.001526,285.673004,-17.750145,568.107788,265.407318,-71.456749,511.302246,390.782959,-135.671326,960.525574,394.871857,-297.997498,927.835693,416.775665,-392.522552,902.104736,463.59256,-376.800812,892.782593,372.356079,-373.178925,827.593628,361.691528,-370.454346,699.911926,367.049652,-319.012177,707.267822,369.889191,-313.780579,632.851196,451.394562,-50.869972,935.923157,357.145905,-47.780422,855.81311,341.049103,-65.904045,772.737122
23,0,445.130463,51.832161,896.231934,439.244171,99.078392,776.463989,427.859375,99.96682,624.719299,456.288666,66.763359,618.045044,316.629822,35.228985,586.976807,289.95813,18.445463,526.029419,285.551575,-17.737198,568.027161,265.288361,-71.49897,511.239044,390.623352,-135.566254,960.582703,394.565338,-297.942444,927.851318,416.391846,-392.375549,902.114929,463.115295,-376.683685,892.967041,372.367828,-373.217834,827.295654,361.737427,-370.34256,699.78302,367.423553,-319.076599,707.433899,370.152527,-313.671509,632.77356,451.360901,-51.00811,936.016846,357.150177,-47.459332,855.850281,341.008667,-65.906647,772.78186
24,0,444.999023,51.911774,896.250122,439.081635,99.135605,776.456665,427.690552,100.003181,624.718994,456.118927,66.743279,618.031372,316.465271,35.221443,586.966858,289.768066,18.400539,526.048157,285.406097,-17.771097,568.021423,265.227203,-71.467163,511.17926,390.472473,-135.464279,960.656311,394.276154,-297.8703,927.897278,416.072784,-392.269897,902.145813,462.796936,-376.646851,893.091003,372.210236,-373.162994,827.231079,361.810822,-370.266052,699.667908,367.279541,-318.779358,707.155273,370.396027,-313.567596,632.723755,451.3591,-51.116226,936.152344,356.960785,-47.590012,855.782471,340.873779,-65.845596,772.794861
25,0,444.855377,51.992283,896.268799,438.897095,99.23616,776.458191,427.578888,99.948074,624.721802,455.968811,66.761665,618.001038,316.310944,35.198414,586.93689,289.663269,18.401232,525.991455,285.230865,-17.861227,568.048035,265.15213,-71.573441,511.127533,390.320709,-135.345642,960.687988,394.010956,-297.774658,927.891724,415.765656,-392.152252,902.138123,462.572021,-376.607574,893.168823,371.932831,-372.988647,827.313538,361.827271,-370.152161,699.559265,367.370697,-318.667664,707.040344,370.661835,-313.481598,632.602417,451.069031,-50.921661,936.242737,356.897858,-47.49699,855.764526,340.847168,-65.86441,772.762878
26,0,444.706635,52.051605,896.280701,438.697205,99.32016,776.450562,427.430084,99.925407,624.71405,455.79599,66.852104,618.015625,316.151703,35.239822,586.904541,289.590424,18.394459,525.947754,285.039307,-17.968332,568.064453,265.083649,-71.591621,511.080139,390.131744,-135.22226,960.724792,393.749237,-297.661835,927.860168,415.526459,-392.091827,902.068604,462.32373,-376.553131,893.268372,372.034668,-373.068604,826.878174,361.86908,-370.089264,699.436584,367.438568,-318.559235,706.895508,370.845978,-313.386169,632.48291,450.917023,-50.72541,936.103699,356.700226,-47.532681,855.649597,340.758484,-65.806679,772.737732
27,0,444.534912,52.184284,896.299316,438.499176,99.394653,776.483032,425.703156,104.446404,625.909119,455.659119,67.00589,618.046448,316.006744,35.220806,586.882629,289.522125,18.411438,525.919067,284.974457,-17.721205,567.906982,265.035645,-71.630661,511.0336,389.950104,-135.112762,960.739929,393.520233,-297.567413,927.787781,415.31955,-391.950195,902.047546,462.142029,-376.452911,893.277466,371.905823,-372.968506,826.779785,361.850006,-370.047119,699.308044,367.413666,-318.54657,706.754333,370.970581,-313.300934,632.368225,450.805481,-50.932365,936.328918,356.557068,-47.572681,855.661865,340.713074,-65.76297,772.713562
28,0,444.368835,52.294296,896.329224,438.297516,99.460709,776.488708,425.522888,104.537132,625.908936,455.459442,67.172401,618.063416,315.844086,35.246998,586.850708,289.359985,18.398455,525.874878,284.838043,-17.725302,567.910339,264.979279,-71.626411,511.015594,389.753601,-134.992477,960.743103,393.336243,-297.480377,927.706665,415.168243,-391.847168,901.991943,461.97052,-376.33963,893.227417,371.722809,-372.819031,826.787231,361.848358,-370.047913,699.126953,367.37204,-318.527435,706.61969,370.979095,-313.271545,632.224731,,,,356.43335,-47.458263,855.511841,340.692505,-65.712875,772.652832
