Trajectories
100
,,ValidationHealthy008:Rdeltoid,,,ValidationHealthy008:RMidArm,,,ValidationHealthy008:RElbRadial,,,ValidationHealthy008:RElbUlna,,,ValidationHealthy008:RMidForeArm,,,ValidationHealthy008:RWrist1,,,ValidationHealthy008:RWrist2,,,ValidationHealthy008:RFingerJoint,,,ValidationHealthy008:LDeltoid,,,ValidationHealthy008:LMidArm,,,ValidationHealthy008:LElbRadial,,,ValidationHealthy008:LElbUlna,,,ValidationHealthy008:LMidForearm,,,ValidationHealthy008:Lwrist1,,,ValidationHealthy008:LWrist2,,,ValidationHealthy008:LFingerJoint,,,ValidationHealthy008:C7,,,ValidationHealthy008:Neck,,,ValidationHealthy008:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,276.266,166.44,1124.24,297.237,318.085,1065.1,219.255,417.636,1005.53,295.561,412.98,1032.58,274.449,424.574,1136.76,239.551,469.296,1241.61,209.094,414.173,1234.06,249.926,411.307,1289.55,276.753,-102.785,1129.49,297.226,-282.14,1089.57,232.246,-387.455,1033.39,294.494,-382.021,1069.4,266.398,-371.07,1165.39,208.14,-385.962,1266.25,183.276,-331.587,1250.32,194.062,-320.464,1323.8,325.272,26.5545,1131.33,189.017,19.0106,1124.68,147.022,19.8471,994.965
21,0,276.268,166.435,1124.25,296.77,318.187,1065.01,219.175,417.604,1005.56,295.462,412.973,1032.54,274.399,424.555,1136.75,239.458,469.216,1241.6,209.028,414.092,1234.05,249.872,411.222,1289.52,276.781,-102.754,1129.53,297.321,-282.147,1089.6,232.321,-387.077,1032.94,294.595,-382.008,1069.42,266.486,-371.047,1165.39,208.235,-385.898,1266.26,183.356,-331.512,1250.33,194.144,-320.413,1323.8,325.351,26.5275,1131.32,189.032,18.9554,1124.7,147.037,19.8335,994.994
22,0,276.254,166.446,1124.24,296.736,318.174,1064.98,219.086,417.545,1005.51,295.38,413.03,1032.54,274.336,424.525,1136.73,239.371,469.14,1241.57,208.955,414.019,1234.04,249.807,411.153,1289.49,276.822,-102.737,1129.58,297.403,-282.136,1089.61,232.608,-387.399,1033.44,294.734,-381.992,1069.44,266.574,-371.004,1165.38,208.333,-385.832,1266.24,183.429,-331.464,1250.32,194.213,-320.348,1323.75,325.342,26.5185,1131.31,189.045,18.9728,1124.69,147.09,19.8259,995.042
23,0,276.25,166.444,1124.23,297.147,318.035,1065.01,219,417.546,1005.48,295.334,413.018,1032.51,274.264,424.48,1136.7,239.299,469.099,1241.56,208.901,413.966,1234.01,249.762,411.081,1289.45,276.875,-102.716,1129.64,297.475,-282.125,1089.64,232.631,-386.939,1032.83,294.881,-381.959,1069.41,266.68,-370.972,1165.37,208.4,-385.791,1266.19,183.502,-331.417,1250.25,194.27,-320.269,1323.66,325.369,26.5025,1131.32,189.042,18.9893,1124.67,147.108,19.8075,995.059
24,0,276.261,166.444,1124.2,297.105,318.058,1064.98,218.906,417.525,1005.47,295.275,413.053,1032.49,274.184,424.466,1136.65,239.234,469.036,1241.53,208.859,413.943,1233.96,249.728,411.036,1289.4,276.884,-102.647,1129.66,297.547,-282.104,1089.65,232.862,-387.301,1033.26,295.049,-381.925,1069.37,266.794,-370.94,1165.3,208.461,-385.745,1266.08,183.589,-331.368,1250.1,194.359,-320.249,1323.55,325.387,26.508,1131.32,189.044,19.005,1124.67,147.074,19.7883,995.069
25,0,276.3,166.451,1124.19,297.073,318.073,1064.94,218.797,417.502,1005.43,293.596,414.601,1032.75,274.125,424.438,1136.58,239.176,468.996,1241.49,208.83,413.9,1233.92,249.709,411.01,1289.34,276.934,-102.657,1129.75,297.648,-282.069,1089.63,232.976,-386.899,1032.64,295.238,-381.881,1069.3,266.923,-370.918,1165.21,208.507,-385.674,1265.93,183.692,-331.309,1249.93,194.397,-320.192,1323.37,325.466,26.573,1131.3,189.089,18.9771,1124.68,147.08,19.7625,995.091
26,0,276.326,166.469,1124.17,297.04,318.074,1064.86,218.703,417.479,1005.38,293.54,414.63,1032.67,274.087,424.411,1136.52,239.15,469.02,1241.44,208.814,413.868,1233.86,249.699,411.003,1289.27,276.953,-102.628,1129.83,297.727,-282.022,1089.61,233.229,-386.885,1032.53,295.425,-381.824,1069.17,267.091,-370.898,1165.11,208.56,-385.615,1265.73,183.752,-331.268,1249.73,194.446,-320.114,1323.13,325.48,26.5823,1131.3,189.129,19.0182,1124.69,147.044,19.6823,995.116
27,0,276.367,166.465,1124.17,297.059,318.114,1064.81,218.64,417.459,1005.3,293.467,414.619,1032.59,274.028,424.4,1136.4,239.127,469.003,1241.35,208.833,413.831,1233.79,249.682,411.019,1289.18,276.987,-102.639,1129.94,297.858,-281.984,1089.55,233.433,-386.891,1032.34,295.65,-381.775,1069.01,267.248,-370.843,1164.91,208.633,-385.545,1265.51,183.837,-331.227,1249.47,194.524,-320.06,1322.87,325.525,26.5248,1131.3,189.179,19.0256,1124.73,147.098,19.6792,995.15
28,0,276.411,166.493,1124.16,297.074,318.103,1064.74,218.551,417.494,1005.2,293.435,414.6,1032.47,274.03,424.395,1136.3,239.126,469.02,1241.25,208.837,413.831,1233.7,249.726,411.016,1289.07,276.971,-102.623,1130.02,297.975,-281.945,1089.45,233.695,-386.791,1032.05,295.864,-381.711,1068.79,267.399,-370.77,1164.63,208.733,-385.44,1265.24,183.923,-331.188,1249.14,194.572,-319.894,1322.51,325.479,26.512,1131.28,189.18,19.0807,1124.77,147.101,19.7181,995.212
29,0,276.406,166.546,1124.13,297.086,318.145,1064.65,218.47,417.457,1005.03,293.379,414.644,1032.33,274.013,424.42,1136.13,239.129,469.042,1241.1,208.874,413.822,1233.57,249.757,411.059,1288.94,276.975,-102.621,1130.08,298.087,-281.871,1089.28,233.877,-386.697,1031.66,296.079,-381.667,1068.53,267.567,-370.663,1164.3,208.885,-385.344,1264.95,183.958,-331.127,1248.77,194.616,-319.698,1322.08,325.528,26.463,1131.31,189.154,19.1832,1124.8,147.061,19.7025,995.228
